´Ü¾î,Á¡¼ö
ÀûÀýÇÏ´Ù,0
ÀûÁ¤ÇÏ´Ù,0
ÀûÇÕÇÏ´Ù,1
ÀûÈ®ÇÏ´Ù,0
ÀüÈ­ÇÏ´Ù,0
Àþ´Ù,1
Á¡ÀÝ´Ù,2
Á¤°¥ÇÏ´Ù,1
Á¤°ã´Ù,2
Á¤±³ÇÏ´Ù,1
Á¤¼º½º·´´Ù,1
Á¤½ÅÂ÷¸®´Ù,0
Á¤ÁßÇÏ´Ù,2
Á¤Á÷ÇÏ´Ù,1
Á¤È®ÇÏ´Ù,0
Á¦Á¦ÇÏ´Ù,0
Á¶°ïÁ¶°ïÇÏ´Ù,0
Á¶±×¸¶ÇÏ´Ù,0
Á¶±×¸Ä´Ù,0
Á¶±ÞÇÏ´Ù,-1
Á¶·Ã,0
Á¶¸¶Á¶¸¶ÇÏ´Ù,-1
Á¶¼÷ÇÏ´Ù,0
Á¶½É½º·´´Ù,0
Á¶¿ëÇÏ´Ù,0
Á¶ÀâÇÏ´Ù,-1
Á¶ÃÍÇÏ´Ù,0
Á¶È­·Ó´Ù,2
Á¼´Ù,-1
ÁÁ´Ù,2
ÁÁ¾ÆÁö´Ù,2
ÁÁ¾ÆÇÏ´Ù,2
ÁË¼Û½º·´´Ù,0
ÁË¼ÛÇÏ´Ù,-2
Áß¿äÇÏ´Ù,1
Áñ°Ì´Ù,2
ÁñºñÇÏ´Ù,0
Áö°ã´Ù,-2
Áö±ßÁö±ßÇÏ´Ù,-2
Áöµ¶ÇÏ´Ù,-2
Áö·çÇÏ´Ù,-2
ÁöÀúºÐÇÏ´Ù,-2
Á÷ÇÏ´Ù,0
Áø¼ÖÇÏ´Ù,2
Áø½ÇµÇ´Ù,2
Áø½ÇÇÏ´Ù,2
ÁøÁ¤ÇÏ´Ù,2
ÁøÁßÇÏ´Ù,2
ÁøÁöÇÏ´Ù,2
ÁøÇÏ´Ù,0
Â¡±×·´´Ù,-2
Â¡Â¡°Å¸®´Ù,-1
Â¡Â¡´ë´Ù,-1
Â£´Ù,0
Â¥¸´ÇÏ´Ù,1
Â¥Áõ³ª´Ù,-2
Â§ÇÏ´Ù,-1
Âª°ÔÇÏ´Ù,0
Âª´Ù,0
Â¬ÀßÇÏ´Ù,0
Â¬Â©ÇÏ´Ù,0
Â¯Â¯ÇÏ´Ù,1
ÂÐ±ßÇÏ´Ù,1
ÂðµæÇÏ´Ù,0
ÂòÂòÇÏ´Ù,-1
ÂóÂóÇÏ´Ù,-2
ÂôÂôÇÏ´Ù,0
ÂôÇÏ´Ù,0
Â÷°©´Ù,0
Â÷±ÙÂ÷±ÙÇÏ´Ù,1
Â÷±ÙÇÏ´Ù,1
Â÷ºÐÂ÷ºÐÇÏ´Ù,1
Â÷ºÐÇÏ´Ù,1
ÂøÀâÇÏ´Ù,-1
ÂøÇÏ´Ù,2
Âù¶õÇÏ´Ù,2
ÂùÂùÇÏ´Ù,0
Âü´ãÇÏ´Ù,-2
Ã¢¹éÇÏ´Ù,0
Ã¢ÇÇÇÏ´Ù,-1
Ã³ÂüÇÏ´Ù,-2
ÃµÇÏ´Ù,-2
Ã¶ÀúÇÏ´Ù,0
Ã»°á,2
Ã»°áÇÏ´Ù,2
Ã»·®ÇÏ´Ù,1
Ã»ÃÊÇÏ´Ù,1
Ã¼³äÇÏ´Ù,-1
ÃÊÁ¶ÇÏ´Ù,-1
ÃË¹ÚÇÏ´Ù,-1
ÃËÃËÇÏ´Ù,-1
ÃÌ½º·´´Ù,-2
ÃßÇÏ´Ù,-2
ÃàÃàÇÏ´Ù,-1
ÃâÁßÇÏ´Ù,2
ÃâÃâÇÏ´Ù,0
Ãä´Ù,-1
ÃæºÐÇÏ´Ù,1
Ãæ½ÇÇÏ´Ù,1
Ä¡¿­ÇÏ´Ù,0
Ä£±ÙÇÏ´Ù,2
Ä£±ÙÇØÁö´Ù,2
Ä£¹ÐÇØÁö´Ù,2
Ä£¼÷ÇÏ´Ù,2
Ä£¼÷ÇØÁö´Ù,2
Ä£ÀýÇÏ´Ù,2
Ä£ÀýÇØÁö´Ù,2
Ä£ÇÏ´Ù,2
Ä¥ÇÏ´Ù,0
Ä§¿ïÇÏ´Ù,-1
Ä§ÂøÇÏ´Ù,1
Ä§Ä§ÇÏ´Ù,-1
Ä®Ä®ÇÏ´Ù,0
Ä¿´Ù¶þ´Ù,0
ÄèÀûÇÏ´Ù,2
ÄèÃ»ÇÏ´Ù,2
ÄèÈ°ÇÏ´Ù,1
Äí¸®´Ù,0
ÄðÇÏ´Ù,1
ÄñÄñÇÏ´Ù,-1
ÄûÄûÇÏ´Ù,-1
Å­Áö¸·ÇÏ´Ù,0
Å­Á÷ÇÏ´Ù,0
Å¹¿ùÇÏ´Ù,1
Å¹ÇÏ´Ù,-1
ÅºÅºÇÏ´Ù,1
ÅÊ±ÛÅÊ±ÛÇÏ´Ù,1
Åä½ÇÅä½ÇÇÏ´Ù,1
ÅåÅåÇÏ´Ù,0
ÅëÄèÇÏ´Ù,1
ÅëÅëÇÏ´Ù,0
Åõ¸íÇÏ´Ù,1
Æ¯º°ÇÏ´Ù,2
Æ¯¼öÇÏ´Ù,0
Æ¯ÀÌÇÏ´Ù,0
Æ¯Ãâ³ª´Ù,2
Æ°½ÇÇÏ´Ù,1
Æ°Æ°ÇÏ´Ù,1
Æ²¸²¾ø´Ù,0
Æ´Æ´ÇÏ´Ù,0
ÆÄ¶þ´Ù,0
ÆÄ¸©ÆÄ¸©ÇÏ´Ù,1
ÆÄ¸©ÇÏ´Ù,1
ÆÅÆÅÇÏ´Ù,-1
ÆÈÆÈÇÏ´Ù,0
ÆÝÇÏ´Ù,0
Æí¸®ÇÏ´Ù,1
Æí¾ÈÇÏ´Ù,1
ÆíÂú´Ù,-1
ÆíÇÏ´Ù,1
Æò¹üÇÏ´Ù,0
Æò¾ÈÇÏ´Ù,1
Æò¿ÂÇÏ´Ù,1
ÆòÈ­·Ó´Ù,1
ÆòÈ­½º·´´Ù,1
Æ÷±ÙÇÏ´Ù,1
Æ÷µ¿Æ÷µ¿ÇÏ´Ù,1
Çª±ÙÇÏ´Ù,1
Çª¸£´Ù,1
Çª¼®Çª¼®ÇÏ´Ù,-1
Çª¼®ÇÏ´Ù,-1
Ç«½ÅÇÏ´Ù,1
Ç³ºÎÇÏ´Ù,1
Ç³Á·ÇÏ´Ù,1
ÇÇ°ïÇÏ´Ù,-1
ÇÇ·ÎÇÏ´Ù,-1
ÇÊ¿ä¾ø´Ù,-1
ÇÊ¿äÇÏ´Ù,0
ÇÏ¾é´Ù,0
ÇÑ°¡·Ó´Ù,0
ÇÑ°¡ÇÏ´Ù,0
ÇÑ°«Áö´Ù,0
ÇÑ°á°°´Ù,1
ÇÑ»êÇÏ´Ù,0
ÇÑÀûÇÏ´Ù,1
ÇÒ°©´Ù,0
ÇØ·Ó´Ù,-2
Çàº¹ÇÏ´Ù,2
Çâ±â·Ó´Ù,2
Çã¹«ÇÏ´Ù,-1
ÇãÀüÇÏ´Ù,-1
ÇãÅ»ÇÏ´Ù,-1
Çè³­ÇÏ´Ù,-1
ÇèÇÏ´Ù,-1
Çò°¥¸®´Ù,-1
Çö¶õÇÏ´Ù,0
Çö¸íÇÏ´Ù,1
È£¶ôÈ£¶ôÇÏ´Ù,0
È£Á£ÇÏ´Ù,0
È¤µ¶ÇÏ´Ù,-1
È¥ÀâÇÏ´Ù,-1
È¦°¡ºÐÇÏ´Ù,1
È­²öÇÏ´Ù,1
È­·ÁÇÏ´Ù,1
È­»çÇÏ´Ù,2
È­Ã¢ÇÏ´Ù,2
È­ÇÏ´Ù,0
È®°íÇÏ´Ù,0
È®½ÇÇÏ´Ù,0
È¯ÀåÇÏ´Ù,0
È¯ÇÏ´Ù,1
È°±âÂ÷´Ù,1
È°¹ßÇÏ´Ù,1
È²´çÇÏ´Ù,-1
È²È¦ÇÏ´Ù,2
È¸º¹ÇÏ´Ù,0
ÈÄ²öÇÏ´Ù,0
ÈÄ·ÃÇÏ´Ù,1
ÈÄÈ¸µÇ´Ù,-1
ÈÆÈÆÇÏ´Ù,1
ÈÇ¸¢ÇÏ´Ù,2
ÈÛ¾µ´Ù,0
ÈäÇÏ´Ù,-2
Èå¹µ´Ù,1
Èå¹µÇÏ´Ù,1
ÈçÄèÇÏ´Ù,2
ÈçÇÏ´Ù,0
ÈìÀâ´Ù,-2
ÈíÁ·ÇÏ´Ù,2
Èï¹Ì·Ó´Ù,2
ÈïºÐÇÏ´Ù,2
Èñ´Ù,1
Èñ¹ÌÇÏ´Ù,0
Èñ¹ÚÇÏ´Ù,0
ÈñÇÑÇÏ´Ù,0
Èû°ã´Ù,-1
Èû³ª´Ù,1
Èûµå´Ù,-1
Èûµé´Ù,-1
Èû¾ø´Ù,-1
ÈûÂ÷´Ù,-1
°¡°¡,0
°¡°Ô,0
°¡°è,0
°¡±¸,0
°¡±â,0
°¡±î¿öÁö´Ù,1
°¡²Ù´Ù,1
°¡²Ù¾îÁö´Ù,1
°¡³ª,0
°¡´©´Ù,0
°¡´Ã¾îÁö´Ù,0
°¡´Ù,0
°¡´Ù°¡,0
°¡´Ùµë´Ù,0
°¡´Ùµë´Ù´Ù,0
°¡µµ,0
°¡µÎ,0
°¡µÎ´Ù,0
°¡µç,0
°¡¶ó,0
°¡¶ó¾É´Ù,0
°¡¶ó¾ÉÈ÷´Ù,0
°¡·Á³»´Ù,0
°¡·ÁÁö´Ù,0
°¡·Î³õÀÌ´Ù,0
°¡·Î¸·´Ù,-1
°¡·Î¸·È÷´Ù,-1
°¡·Î»õ´Ù,0
°¡·Î¼­´Ù,-1
°¡·ÎÁö¸£´Ù,-1
°¡¸£´Ù,0
°¡¸£Ä¡´Ù,0
°¡¸®´Ù,0
°¡¸®¾îÁö´Ù,0
°¡¸®¿ì´Ù,0
°¡¸®Å°´Ù,0
°¡¸²,0
°¡¸¸µÎ´Ù,0
°¡¸¸ÀÖ´Ù,0
°¡¸é,0
°¡¹®,0
°¡¹°,0
°¡¹°´Ù,0
°¡¹ö¸®´Ù,-1
°¡º­¿öÁö´Ù,1
°¡º¸,0
°¡º¸´Ù,0
°¡ºüÁö´Ù,0
°¡¼¼,0
°¡¼ö,0
°¡½Ã,0
°¡½Ã´Ù,0
°¡½Å,0
°¡½Ê,0
°¡¾È,0
°¡¾ß,0
°¡¿À,0
°¡¿À¸®,0
°¡¿ä,0
°¡À»,0
°¡ÀÇ,0
°¡Àü,0
°¡Á®°¡´Ù,0
°¡Á®´ÙÁÖ´Ù,0
°¡Á®¿À´Ù,0
°¡Áö,0
°¡Áö´Ù,0
°¡Áü,0
°¡Áý,0
°¡ÇÏ´Ù,0
°¡ÇØ,0
°£°í,0
°£´Ù,0
°£´Ü,0
°£´çÀÌ´Ù,0
°£´óÀÌ´Ù,0
°£µÎ´Ù,0
°£ÀÌ,0
°£Á¾±×¸®´Ù,0
°£Áö,0
°£Áö³ª´Ù,0
°£Áú°Å¸®´Ù,0
°¤È÷´Ù,-1
°¥°Ç,0
°¥°Ü¾²´Ù,-1
°¥°í,0
°¥±¸´Ù,-1
°¥´Ù,0
°¥¶ó,0
°¥¶ó°í,0
°¥¶óÁö´Ù,-1
°¥·¡,0
°¥¸®,0
°¥¸®´Ù,0
°¥¸²,0
°¥¸²±æ,0
°¥¼ö,0
°¥¾Æ,0
°¥¾Æ¾þ´Ù,-1
°¥¾ÆÀÔ´Ù,0
°¥¾ÆÅ¸´Ù,0
°¦´Ù,0
°¦¾Æ¸Ô´Ù,0
°¨°í,0
°¨´Ù,0
°¨´ç,0
°¨µ¹´Ù,0
°¨»çÇÏ´Ù,2
°¨¼Ò,0
°¨½Ã,0
°¨½Î´Ù,0
°¨ÀÚ,0
°¨ÀÚÀü,0
°¨Ãß´Ù,0
°©»ç,0
°ª½Î´Ù,1
°®´Ù,0
°®Ãß´Ù,1
°±´Ù,0
°³°³´Ù,0
°³³ª¸®,0
°³´Ù,0
°³µµ,0
°³½Ã,0
°³ÀÎ,0
°³Áö,0
°¼¿ï´Ù,0
°Å²Ù·¯Áö´Ù,0
°Å´Ò´Ù,0
°ÅµÎ´Ù,0
°ÅµÎ¾îµéÀÌ´Ù,0
°ÅµÖµéÀÌ´Ù,0
°Åµç¿ä,0
°Åµé´Ù,0
°Å½º·¯Áö´Ù,0
°Å½½¸®´Ù,-1
°ÅÄ¡´Ù,0
°Ç³»´Ù,0
°Ç³Ê,0
°Ç³Ê°¡´Ù,0
°Ç³Ê´Ù,0
°Ç³Ê¿À´Ù,0
°Ç³×´Ù,0
°Ç³×ÁÖ´Ù,0
°Çµå¸®´Ù,0
°ÇÁö´Ù,0
°È±â,0
°È´Ù,0
°È¾îÂ÷´Ù,-2
°ÈÈ÷´Ù,0
°É´Ù,0
°É¸®´Ù,0
°É¾î°¡´Ù,0
°É¾î¿À´Ù,0
°ÉÀ½,0
°ÉÄ¡´Ù,0
°Ë¾îÁö´Ù,0
°Ì³ª´Ù,0
°Ì´Ï´Ù,0
°Ô¿ì´Ù,0
°Ú´Ù,0
°Ü·ç´Ù,0
°Ü¿ï,0
°Þ´Ù,0
°ßµð´Ù,0
°á¸®´Ù,0
°æ°¨½ÃÅ°´Ù,0
°æ»çÁö´Ù,0
°æÇè½ÃÅ°´Ù,0
°çµéÀÌ´Ù,0
°í²Ù¶óÁö´Ù,0
°í¶ó,0
°í¶ó´Ï,0
°í¸£´Ù,0
°í¸§,0
°íºÎ¸®´Ù,0
°íÄ¡,0
°íÄ¡´Ù,0
°ð¼­´Ù,0
°ñ´Ù,0
°ñ¸£´Ù,0
°ñ¼ö,0
°ñÀç,0
°ñÄ¡,0
°ô´Ù,-2
°ö¾Ã´Ù,0
°ø°¥Ä¡´Ù,-2
±«·ÓÈ÷´Ù,-2
±¸±â,0
±¸±â´Ù,0
±¸¸£´Ù,0
±¸¸§,0
±¸ºÎ·¯Áö´Ù,0
±¸ºÎ¸®´Ù,0
±¸½½¸®´Ù,0
±¸½ÄÀÌ´Ù,0
±¸Çª¸®´Ù,0
±»¾îÁö´Ù,0
±»È÷´Ù,0
±¼·¯°¡´Ù,0
±¾´Ù,-1
±¾ÁÖ¸®´Ù,-1
±Á´Ù,0
±Á½Å´ë´Ù,-1
±ÁÀÌÄ¡´Ù,-1
±ÁÈ÷´Ù,-1
±ÇÇÏ´Ù,0
±ÇÇÑ,0
±×·ÁÁö´Ù,0
±×¸®°í,0
±×¸®´Ù,0
±×¸°,0
±×¸±,0
±×¸²,0
±×¸¸µÎ´Ù,0
±×Ä¡´Ù,0
±Ü´Ù,0
±ß´Ù,0
±â°è,0
±â±¸,0
±â³»,0
±â´Ù,0
±â´Ù¸®´Ù,0
±â´Ù¸²,0
±â´ë´Ù,0
±âµµ,0
±â¸£´Ù,0
±â¸§,0
±â»ç,0
±â¾î,0
±â¾î¿À¸£´Ù,0
±â¾ï³ª´Ù,0
±â¿¡,0
±â¿î,0
±â¿ï´Ù,0
±â¿ï¾îÁö´Ù,0
±â¿ïÀÌ´Ù,0
±âÁ×´Ù,-1
±âÁö,0
±æ°¡,0
±æµé´Ù,0
±æµéÀÌ´Ù,0
±æ·¡,0
±æ¾îÁö´Ù,0
±æÀÌ,0
±æÀÌ¹Ç,0
±èÄ¡,0
±èÇØ,0
±é´Ù,0
±î´ÚÀÌ´Ù,0
±îµüÀÌ´Ù,0
±î¸Ô´Ù,0
±î¹ß¸®´Ù,0
±îºÒ´Ù,-1
±îÁö,0
±îÁö´Â,0
±îÁöµµ,0
±îÁö¸¦,0
±îÁö¸¸,0
±îÁø,0
±îÄ¡,0
±îÅ»Áö´Ù,0
±ïÀÌ´Ù,0
±ð´Ù,0
±ñÁ×ÀÌ´Ù,0
±ò´Ù,0
±òµüÀÌ´Ù,0
±ò¸®´Ù,0
±òº¸´Ù,0
±òÂ¦ÀÌ´Ù,0
±ô¹ÚÀÌ´Ù,0
±ôºý,0
±ôºýÀÌ´Ù,0
±ôÀÛÀÌ´Ù,0
±ôÂ¦ÀÌ´Ù,0
±ú²ýÇØÁö´Ù,2
±ú³ª,0
±ú´Ù,0
±ú´Ý´Ù,1
±ú¶ß¸®´Ù,0
±ú¹°´Ù,-1
±úºÎ¼ö´Ù,-1
±ú¾î³ª´Ù,0
±ú¾îÁö´Ù,0
±ú¿©Áö´Ù,0
±ú¿ì´Ù,0
±ú¿ìÄ¡´Ù,0
±úÁö´Ù,0
±úÄ¡´Ù,0
ƒÆ¾î³ª´Ù,0
²¨²Ù·¯¶ß¸®´Ù,0
²¨²Ù·¯Áö´Ù,0
²¨³»´Ù,0
²¨¸®´Ù,0
²¨¹÷ÀÌ´Ù,0
²¨Áö´Ù,0
²ª´Ù,0
²¬¶±ÀÌ´Ù,-1
²­¹÷ÀÌ´Ù,0
²­»¶ÀÌ´Ù,0
„L´Ù,0
²¿²Ù¶óÁö´Ù,-1
²¿¸®Ä¡´Ù,0
²¿¹ÚÀÌ´Ù,0
²¿ºÎ¶óÁö´Ù,0
²¿ºÎ¸®´Ù,0
²¿ºÒÄ¡´Ù,0
²¿Áý´Ù,1
²Â´Ù,0
²Ã´Ù,-1
²Ã¸®´Ù,-1
²ÅÈ÷´Ù,0
²È´Ù,0
²ÈÈ÷´Ù,0
²ËÂ÷´Ù,0
²Ð²Ð´ë´Ù,0
²Ò´Ù,0
²Ù±â´Ù,0
²Ù´Ù,0
²Ù¸®,0
²Ù¸®´Ù,0
²Ù¹«·°´ë´Ù,0
²Ù¹«Àû°Å¸®´Ù,0
²Ù¹«Àû´ë´Ù,0
²Ù¹°°Å¸®´Ù,0
²Ù¹Ì´Ù,0
²Ù¹÷ÀÌ´Ù,0
²ÙºÎ·¯Áö´Ù,0
²Ù»¶ÀÌ´Ù,0
²ÙÂ¢´Ù,-1
²Ý´Ù,-1
²Þ²Ù´Ù,0
²ç¶Õ´Ù,0
²ç¸Å´Ù,0
²ô´Ù,0
²ô´öÀÌ´Ù,0
²÷±â´Ù,0
²÷´Ù,0
²÷¾îÁö´Ù,0
²÷À½,-1
²ø´Ù,0
²ø¸®´Ù,0
²ø¾î³»¸®´Ù,0
²ø¾î´ç±â´Ù,0
²ø¾î¾È´Ù,1
²ú´Ù,0
²úÀÌ´Ù,0
²þ²þ´ë´Ù,-1
³¡³ª´Ù,0
³¡³»´Ù,0
³¢´Ï,0
³¢´Ù,0
³¢¾îµé´Ù,-1
³¢¿ì´Ù,0
³¢¿ï´Ù,0
³¢Ä¡´Ù,0
³¥³¥´ë´Ù,-1
³©³©´ë´Ù,-1
³ª°¡´Ù,0
³ª°¡¶³¾îÁö´Ù,0
³ª°¡¾ß,0
³ª°¡¿ä,0
³ª±â,0
³ª²Ù´Ù,0
³ª³ª,0
³ª³ë,0
³ª´©´Ù,0
³ª´©¾îÁö´Ù,0
³ª´®,0
³ª´²Áö´Ù,0
³ª´µ´Ù,0
³ª´µ¾îÁö´Ù,0
³ª´Ï,0
³ª´Ù,0
³ª´Ù´Ï´Ù,0
³ª´ë´Ù,-1
³ªµ¹´Ù,0
³ªµ¿±×¶óÁö´Ù,0
³ªµß±¼´Ù,-1
³ª¸£´Ù,0
³ª¹«¶ó´Ù,-1
³ªºÎ³¢´Ù,0
³ªºÒ´ë´Ù,-1
³ªºÙ´Ù,0
³ªºüÁö´Ù,-2
³ª»çÁö´Ù,0
³ª¼­´Ù,0
³ª¼±,0
³ª½Ã,0
³ª¾Æ°¡´Ù,0
³ª¾ÆÁö´Ù,0
³ª¾É´Ù,0
³ª¾ß,0
³ª¿À´Ï,0
³ª¿À´Ù,0
³ª¿ì,0
³ªÀÌ,0
³ªÀÚºüÁö´Ù,-1
³ªÅ¸³ª´Ù,0
³ªÅ¸³²,0
³ªÅ¸³»´Ù,0
³ªÇ®°Å¸®´Ù,0
³ªÇ®´ë´Ù,0
³ªÇÏ,0
³«ÀÎÂïÈ÷´Ù,0
³¬¾ÆÃ¤´Ù,-1
³­°ÅÁö,0
³­°Ç,0
³­´ë,0
³­¸®Ä¡´Ù,-2
³¯´Ù,0
³¯¶Ù´Ù,0
³¯¶óÁö´Ù,0
³¯¸§,0
³¯¸®´Ù,0
³¯¸²,0
³¯¼ö,0
³¯¾Æ°¡´Ù,0
³¯¾Æ´Ù´Ï´Ù,0
³¯¾Æµé´Ù,0
³¯¾Æ¿À´Ù,0
³¯¾Æ¿À¸£´Ù,0
³¯ÀÎ,0
³¯ÁÙ,0
³¯Ä«·Î¿öÁö´Ù,-2
³°¾ÆÁö´Ù,-1
³²°ÜÁö´Ù,0
³²±¸,0
³²±â´Ù,0
³²´Ù,0
³²µµ,0
³²¸é,0
³²¼­,0
³²½Ç´ë´Ù,0
³²¾Æ,0
³²¾Æ³ª´Ù,0
³²¾Æµ¹´Ù,0
³²ÀÚ,0
³²Àç,0
³²Áø,0
³³Ä¡,0
³´´Ù,0
³·¾ÆÁö´Ù,0
³·Ãß´Ù,0
³º´Ù,0
³ºÀ»,0
³»±â,0
³»³õ´Ù,0
³»´Ù,0
³»´Ùº¸´Ù,0
³»µðµð´Ù,0
³»µó´Ù,0
³»·Á°¡´Ù,0
³»·Á³õ´Ù,0
³»·Á´Ùº¸´Ù,0
³»·Á¾É´Ù,0
³»·Á¿À´Ù,0
³»·ÁÁö´Ù,0
³»¸®´Ù,0
³»¸®ÂØ´Ù,0
³»¸é,0
³»¹Ì´Ù,0
³»¹ñ´Ù,0
³»¹ö¸®´Ù,-1
³»º¸³»´Ù,-1
³»º¸ÀÌ´Ù,0
³»½¬´Ù,0
³»½Ã,0
³»½Å,0
³»¾ß,0
³»ÀÚ,0
³»Á£´Ù,0
³»ÁÖ,0
³»ÁÖ´Ù,0
³»Áö,0
³»ÂÑ´Ù,0
³È³È´ë´Ù,0
³Ê´ú´ë´Ù,-1
³ÊºÎ·¯Áö´Ù,-1
³Ê¿ï°Å¸®´Ù,0
³Ê¿ï´ë´Ù,0
³Î´Ù,0
³Ð¾îÁö´Ù,0
³ÐÈ÷´Ù,0
³Ñ°Ü´Ùº¸´Ù,0
³Ñ°Ü¹Þ´Ù,0
³Ñ°Üº¸´Ù,0
³Ñ°ÜÁÖ´Ù,0
³Ñ°ÜÂ¤´Ù,0
³Ñ±â´Ù,0
³Ñ´Ù,0
³Ñ½Ç´ë´Ù,0
³Ñ¾î°¡´Ù,0
³Ñ¾î¶ß¸®´Ù,-1
³Ñ¾î¼­´Ù,0
³Ñ¾î¿À´Ù,0
³Ñ¾îÁö´Ù,-1
³Ö´Ù,0
³ë´Ï,0
³ë´ÚÀÌ´Ù,0
³ë·Áº¸´Ù,-2
³ë¸®´Ù,-1
³ëÀ»,0
³ì³ª´Ù,0
³ì´Ù,0
³ì½½´Ù,-1
³ì¾Æ³»¸®´Ù,0
³ìÀÌ´Ù,0
³ìÁö,0
³î´Ù,0
³î¶ó´Ù,0
³î¶õ,0
³î¶÷,0
³î¸®´Ù,0
³ó»çÁþ´Ù,0
³óÄ¡´Ù,0
³ô¾ÆÁö´Ù,0
³ôÀÌ,0
³ôÀÌ´Ù,0
³õ´Ù,0
³õ¾ÆµÎ´Ù,0
³õÀÌ´Ù,0
³õÄ¡´Ù,0
³öµÎ´Ù,0
´©¸£´Ù,0
´©¸®,0
´©¸®´Ù,0
´«°¨´Ù,0
´«¶ß´Ù,0
´«¹°³ª´Ù,1
´¯´Ù,0
´µ¿³´ë´Ù,0
´µ¿ì´Ù,0
´µ¿ìÄ¡´Ù,0
´À²¸Áö´Ù,0
´À³¢´Ù,0
´À³¦,0
´À³Ä°í,0
´À³Ä¿¡,0
´Â°Ô,0
´Â±¸³ª,0
´Â±º,0
´Â´Ù,0
´Â´Ù°í,0
´Â´Ù´Â,0
´Â´Ù´Âµ¥,0
´Â´Ù¸¸,0
´Â´Ù¸ç,0
´Â´Ù¸é,0
´Â´ä´Ï´Ù,0
´Â´ë,0
´Â´ë·Î,0
´Âµ¥,0
´Âµ¥´Â,0
´Âµ¥´Ù,0
´Âµ¥µµ,0
´Âµ¥¼­,0
´ÂÁö,0
´ÂÁö´Â,0
´ÂÁöµµ,0
´ÂÁö¶ó,0
´ÂÁö¸¦,-1
´ÂÁö¿ä,0
´Ã´Ù,0
´Ã¸®´Ù,0
´Ã¾î³ª´Ù,0
´Ã¾î³õ´Ù,0
´Ã¾î¼­´Ù,0
´Ã¾îÁö´Ù,0
´Ä´Ù,0
´Ê´Ù,-1
´Ê¾îÁö´Ù,-1
´ÊÃß´Ù,0
´Ï´ç´Ù,0
´Ù°¡,0
´Ù°¡°¡´Ù,0
´Ù°¡µé´Ù,0
´Ù°¡¼­´Ù,0
´Ù°¡¾É´Ù,0
´Ù°¡¿À´Ù,0
´Ù±×Ä¡´Ù,0
´Ù±ÞÇØÁö´Ù,-1
´Ù³à°¡´Ù,0
´Ù³à¿À´Ù,0
´Ù´Âµ¥,0
´Ù´Ï´Ù,0
´Ù´Ù¸£´Ù,0
´Ùµ¶ÀÌ´Ù,1
´Ùµë´Ù,1
´Ùµë¾îÁö´Ù,1
´Ù·ÁÁö´Ù,1
´Ù·ç´Ù,1
´Ù·ç¾îÁö´Ù,1
´Ù¸®,0
´Ù¸®´Ù,0
´Ù¸°,0
´Ù¹°´Ù,0
´Ù¹°¾îÁö´Ù,0
´Ù¹Ú´ë´Ù,0
´Ù½º·ÁÁö´Ù,0
´Ù½º¸®´Ù,0
´Ù½Ã,0
´Ù½Ã´Ù,0
´Ù¾çÇØÁö´Ù,0
´ÙÀ½°¡´Ù,0
´ÙÀâ´Ù,0
´ÙÁ®Áö´Ù,0
´ÙÁö,0
´ÙÁö´Ù,0
´ÙÁö¸£´Ù,0
´ÙÁü,0
´ÙÁý,0
´ÙÄ¡´Ù,0
´ÙÅõ´Ù,0
´ÚÃÄ¿À´Ù,0
´ÚÄ¡´Ù,0
´Û´Ù,0
´Û¾ÆÁö´Ù,0
´Û¿©Áö´Ù,0
´ÛÀÌ´Ù,0
´Ü°Í,0
´Ü°è,0
´Ü´Ù,0
´Üµµ,0
´Ü¾Æ,0
´Ü¿À,0
´ÜÁö,0
´Ý´Ù,0
´ÝÈ÷´Ù,0
´Þ±¸´Ù,0
´Þ´Ù,0
´Þ¶ß´Ù,0
´Þ¶ó,0
´Þ¶óºÙ´Ù,0
´Þ¶óÁö´Ù,0
´Þ¶ûÀÌ´Ù,0
´Þ·¡,0
´Þ·¡´Ù,0
´Þ·Á°¡´Ù,0
´Þ·Áµé´Ù,0
´Þ·Á¿À´Ù,0
´Þ¸®,0
´Þ¸®±â,0
´Þ¸®´Ù,0
´Þ¾Æ³ª´Ù,0
´Þ¾Æ¿À¸£´Ù,0
´ÞÀÌ´Ù,0
´ÞÀÎ,0
´à´Ù,0
´â´Ù,-1
´ã±×´Ù,0
´ã±â´Ù,0
´ã´Ù,0
´ãµé´Ù,0
´ç±â´Ù,0
´ê´Ù,0
´ë°Å,0
´ë°Ô,0
´ë°í,0
´ë±¸,0
´ë±â,0
´ë³¢´Ù,0
´ë´Ï,0
´ë´Ù,0
´ë´ä,0
´ëµµ,0
´ëµé´Ù,-1
´ë¸®,0
´ë¸é,0
´ë¹°¸®´Ù,-1
´ë¹Ú³ª´Ù,2
´ëº¸´Ù,0
´ë»ç,0
´ë½Å,0
´ë¾È,0
´ë¾îÁö´Ù,0
´ë¿©¹Þ´Ù,0
´ë¿ì,0
´ë¿ì¹Þ´Ù,1
´ëÀÎ,0
´ëÁ¢¹Þ´Ù,1
´ëÁö,0
´ëÃâ¹Þ´Ù,0
´ëÄ¡,0
´ëÇÏ,0
´ëÇØ,0
´ñ±Û´Þ´Ù,0
´õµë´Ù,0
´õµð´Ù,0
´õ·¯¿öÁö´Ù,-2
´õ·´È÷´Ù,-2
´õºÒ´Ù,0
